Date,Stock_Ticker,Market_Cap,HA_Close,HA_Open,EMA_89_HA_Close,Breakout_Strength_Percent,Signal_High,Signal_Close,Regular_Close
2025-07-01,RBLBANK,Large Cap,257.43,209.0,234.44,9.81,271.89,265.86,265.86
2025-07-01,ASIANPAINT,Large Cap,2407.9,2293.85,2367.26,1.72,2535.0,2396.1,2396.1
2024-07-01,UPL,Large Cap,555.12,512.09,547.67,1.36,574.04,565.88,565.88
2024-07-01,PEL,Small Cap,956.84,851.04,889.16,7.61,1024.09,1020.66,1020.66
2024-06-01,WHIRLPOOL,Small Cap,1763.18,1420.93,1536.66,14.74,2185.18,1985.79,1985.79
2024-05-01,CROMPTON,Large Cap,353.94,287.69,302.65,16.95,403.53,386.06,386.06
2024-02-01,BIOCON,Large Cap,277.47,254.02,271.83,2.07,306.27,275.75,275.75
2024-02-01,SHILPAMED,Small Cap,199.1,175.07,196.17,1.5,227.12,207.97,207.97
2024-01-01,INDUSTOWER,Small Cap,212.89,185.53,206.02,3.34,236.0,221.95,221.95
2023-09-01,WHIRLPOOL,Small Cap,1625.74,1473.47,1553.56,4.65,1692.29,1614.83,1614.83
2023-09-01,PNB,Large Cap,69.25,55.72,63.64,8.82,79.38,77.03,77.03
2023-07-01,PEL,Small Cap,977.65,759.83,880.01,11.1,1093.08,991.51,991.51
2023-07-01,SUNTV,Small Cap,466.09,415.52,434.33,7.31,523.69,511.32,511.32
2023-07-01,LUPIN,Small Cap,926.8,776.03,874.93,5.93,977.35,970.89,970.89
2023-05-01,AUROPHARMA,Small Cap,624.82,512.97,610.28,2.38,657.55,653.24,653.24
2023-05-01,UNIONBANK,Large Cap,67.04,64.62,65.91,1.72,71.84,64.82,64.82
2023-05-01,JUSTDIAL,Small Cap,688.75,619.0,674.96,2.04,725.0,697.95,697.95
2023-04-01,GLENMARK,Small Cap,513.24,425.54,506.62,1.31,565.61,560.34,560.34
2022-12-01,UNIONBANK,Large Cap,74.21,51.41,65.85,12.68,87.88,73.3,73.3
2022-12-01,MANAPPURAM,Small Cap,109.84,99.15,104.83,4.78,119.17,109.85,109.85
2022-12-01,IDBI,Large Cap,51.27,43.13,46.7,9.78,57.73,51.44,51.44
2022-11-01,BHEL,Small Cap,77.36,61.16,68.15,13.52,84.26,83.12,83.12
2022-11-01,EXIDEIND,Small Cap,174.25,156.48,169.28,2.94,187.15,185.67,185.67
2022-08-01,INDUSINDBK,Large Cap,1041.25,882.57,1012.63,2.83,1086.68,1074.74,1074.74
2022-08-01,SUNTV,Small Cap,447.16,408.63,433.0,3.27,478.73,459.11,459.11
2022-08-01,CANBK,Large Cap,41.96,36.57,39.17,7.11,44.22,43.6,43.6
2022-07-01,BANKBARODA,Large Cap,98.01,90.95,95.79,2.32,109.45,106.16,106.16
2022-07-01,BOSCHLTD,Small Cap,15292.94,13838.75,14760.07,3.61,16260.16,16152.39,16152.39
2022-07-01,WHIRLPOOL,Small Cap,1650.03,1577.51,1579.02,4.5,1782.05,1756.69,1756.69
2022-05-01,HEROMOTOCO,Small Cap,2325.94,2152.26,2260.2,2.91,2510.13,2477.92,2477.92
2022-04-01,SUNTV,Small Cap,455.65,432.98,434.73,4.81,493.86,441.23,441.23
2022-02-01,COALINDIA,Large Cap,121.34,113.02,119.19,1.81,127.0,126.44,126.44
2021-11-01,ZEEL,Small Cap,305.69,253.12,301.77,1.3,337.46,311.7,311.7
2021-10-01,BOSCHLTD,Small Cap,15610.63,13969.14,14759.75,5.76,17524.74,15998.09,15998.09
2021-10-01,COALINDIA,Large Cap,126.13,106.88,119.7,5.37,143.42,115.73,115.73
2021-09-01,INDUSTOWER,Small Cap,253.67,214.27,218.62,16.03,314.64,291.85,291.85
2021-09-01,ONGC,Large Cap,102.19,88.87,95.43,7.09,114.2,110.9,110.9
2021-08-01,ITC,Large Cap,181.87,177.76,179.36,1.4,188.23,183.16,183.16
2021-05-01,IOC,Large Cap,51.65,46.25,50.15,2.99,58.38,56.1,56.1
2021-05-01,GLENMARK,Small Cap,581.09,490.92,544.99,6.62,629.4,582.69,582.69
2021-05-01,SHILPAMED,Small Cap,238.56,193.42,202.06,18.07,280.56,257.32,257.32
2021-03-01,NTPC,Large Cap,91.62,79.58,88.53,3.49,97.14,90.24,90.24
2021-02-01,CONCOR,Small Cap,491.78,398.34,426.63,15.27,581.94,543.77,543.77
2021-02-01,INDUSTOWER,Small Cap,221.28,199.94,216.21,2.35,248.48,226.63,226.63
2021-02-01,PEL,Small Cap,829.81,720.4,780.48,6.32,1014.47,944.87,944.87
2021-02-01,LICHSGFIN,Small Cap,390.42,328.49,367.72,6.17,444.86,392.01,392.01
2021-02-01,TATAMOTORS,Large Cap,293.13,194.91,265.56,10.38,336.89,318.22,318.22
2021-02-01,FEDERALBNK,Small Cap,75.72,62.42,68.86,9.97,84.31,79.86,79.86
2021-02-01,CUMMINSIND,Small Cap,678.09,534.76,583.65,16.18,761.23,729.51,729.51
2021-01-01,SUNTV,Small Cap,436.68,398.14,424.56,2.86,484.87,420.68,420.68
2021-01-01,LUPIN,Small Cap,991.71,910.43,945.56,4.88,1084.03,981.11,981.11
2021-01-01,GAIL,Small Cap,69.34,55.39,63.3,9.54,78.29,67.1,67.1
2020-12-01,SUNPHARMA,Large Cap,527.65,469.67,506.81,4.11,569.29,562.54,562.54
2020-12-01,ABB,Small Cap,1133.08,930.18,1054.57,7.44,1234.2,1187.24,1187.24
2020-12-01,TATAPOWER,Small Cap,68.46,53.59,63.0,8.67,75.7,72.68,72.68
2020-12-01,APOLLOTYRE,Small Cap,171.89,136.31,158.47,8.47,187.64,167.0,167.0
2020-12-01,SAIL,Small Cap,52.06,32.64,46.76,11.33,63.41,62.9,62.9
2020-12-01,LT,Large Cap,1158.01,934.16,1005.85,15.13,1273.05,1224.64,1224.64
2020-12-01,UBL,Small Cap,1090.11,965.02,997.84,9.25,1169.26,1160.79,1160.79
2020-12-01,NMDC,Small Cap,19.38,15.9,16.85,15.02,21.88,20.73,20.73
2020-12-01,SBIN,Large Cap,240.82,191.48,235.62,2.21,258.27,253.7,253.7
2020-12-01,MOTHERSON,Large Cap,41.31,31.54,34.21,20.75,44.15,43.99,43.99
2020-12-01,VEDL,Large Cap,70.0,52.67,68.91,1.58,83.21,78.68,78.68
2020-12-01,ADANIPOWER,Small Cap,9.56,7.43,8.55,11.74,12.79,9.96,9.96
2020-12-01,EXIDEIND,Small Cap,180.38,160.42,172.67,4.46,189.98,184.02,184.02
2020-12-01,INDHOTEL,Large Cap,117.82,96.83,106.42,10.71,133.24,114.92,114.92
2020-11-01,TATASTEEL,Large Cap,42.36,32.84,34.98,21.13,50.13,49.7,49.7
2020-11-01,ASHOKLEY,Small Cap,41.3,33.44,36.97,11.69,46.38,43.7,43.7
2020-11-01,RECLTD,Large Cap,56.24,50.89,52.35,7.43,61.69,60.62,60.62
2020-11-01,AXISBANK,Large Cap,556.07,458.17,520.82,6.77,637.34,599.1,599.1
2020-11-01,DLF,Small Cap,170.16,150.75,163.32,4.19,193.91,180.73,180.73
2020-10-01,GRASIM,Small Cap,749.06,650.69,709.47,5.58,785.96,760.89,760.89
2020-09-01,LUPIN,Small Cap,967.3,873.49,946.55,2.19,1092.79,980.91,980.91
2020-09-01,BHARATFORG,Small Cap,454.03,379.24,429.05,5.82,495.35,432.4,432.4
2020-08-01,AMBUJACEM,Small Cap,195.98,176.15,188.54,3.95,209.04,189.84,189.84
2020-08-01,CHOLAFIN,Small Cap,219.66,186.04,201.25,9.15,255.8,229.33,229.33
2020-08-01,JINDALSTEL,Small Cap,200.41,146.93,175.75,14.03,235.42,202.24,202.24
2020-08-01,HINDALCO,Small Cap,170.97,142.03,165.9,3.06,195.05,177.87,177.87
2020-08-01,M&M,Large Cap,586.64,473.5,569.57,3.0,618.76,578.98,578.98
2020-07-01,EICHERMOT,Small Cap,1879.96,1563.72,1797.26,4.6,2071.26,1967.7,1967.7
2020-07-01,HEROMOTOCO,Small Cap,2243.1,1906.0,2142.22,4.71,2431.55,2255.27,2255.27
2020-07-01,JSWSTEEL,Large Cap,192.27,176.26,190.06,1.16,207.9,206.31,206.31
2020-07-01,HINDZINC,Small Cap,121.78,104.22,114.14,6.7,130.71,127.17,127.17
2020-06-01,UPL,Large Cap,400.08,385.21,391.67,2.15,441.34,399.27,399.27
2020-06-01,WIPRO,Large Cap,103.01,95.77,101.06,1.93,108.75,103.85,103.85
2020-06-01,ADANIPORTS,Large Cap,329.0,290.16,302.21,8.86,349.46,333.83,333.83
2020-06-01,BAJAJHLDNG,Small Cap,2202.18,2043.24,2096.83,5.02,2766.18,2340.9,2340.9
2020-06-01,SHILPAMED,Small Cap,230.57,175.89,193.96,18.88,292.74,236.28,236.28
2020-05-01,AUROPHARMA,Small Cap,658.31,473.92,550.63,19.55,725.12,720.58,720.58
2020-05-01,CIPLA,Small Cap,592.18,454.34,500.72,18.27,628.25,625.55,625.55
2020-01-01,MOTHERSON,Large Cap,36.45,33.29,35.96,1.37,39.12,34.64,34.64
2019-12-01,TATASTEEL,Large Cap,36.97,32.88,35.96,2.81,39.97,39.61,39.61
2019-12-01,BHARATFORG,Small Cap,452.86,427.47,442.56,2.33,485.75,464.73,464.73
2019-11-01,DLF,Small Cap,194.15,159.27,162.41,19.55,216.53,209.93,209.93
2019-11-01,GRASIM,Small Cap,751.42,724.34,730.58,2.85,801.95,764.83,764.83
2019-11-01,MFSL,Large Cap,459.17,419.74,428.75,7.1,521.1,504.9,504.9
2019-10-01,EICHERMOT,Small Cap,1910.13,1648.32,1811.39,5.45,2145.39,2131.95,2131.95
2019-09-01,TATACOMM,Small Cap,298.66,275.11,276.14,8.16,363.31,348.18,348.18
2019-05-01,BHARTIARTL,Large Cap,319.68,292.13,309.95,3.14,340.31,333.42,333.42
2019-05-01,COALINDIA,Large Cap,143.06,135.41,140.64,1.72,150.75,145.33,145.33
2019-04-01,ONGC,Large Cap,114.16,102.19,112.11,1.83,119.47,118.11,118.11
2019-04-01,NMDC,Small Cap,17.53,16.22,16.92,3.56,18.37,17.01,17.01
2019-04-01,MFSL,Large Cap,435.44,416.86,428.87,1.53,474.5,417.65,417.65
2019-03-01,AMBUJACEM,Small Cap,200.93,188.76,192.67,4.29,212.94,210.31,210.31
2019-03-01,SIEMENS,Large Cap,602.85,568.7,581.42,3.69,644.97,640.31,640.31
2019-03-01,DLF,Small Cap,174.82,159.64,160.62,8.84,195.03,191.3,191.3
2019-03-01,YESBANK,Large Cap,251.59,201.04,209.33,20.19,277.69,271.38,271.38
2019-03-01,NTPC,Large Cap,99.48,89.77,91.44,8.79,110.18,104.52,104.52
2019-01-01,RECLTD,Large Cap,52.78,47.29,48.15,9.62,55.46,53.34,53.34
2018-12-01,LICHSGFIN,Small Cap,407.71,391.72,393.06,3.73,436.56,427.77,427.77
2018-12-01,MFSL,Large Cap,437.5,418.66,429.83,1.78,453.95,446.0,446.0
2018-11-01,CUMMINSIND,Small Cap,685.63,623.25,646.9,5.99,725.02,709.11,709.11
2018-11-01,ADANIPOWER,Small Cap,10.19,6.31,7.83,30.21,11.5,11.1,11.1
2018-11-01,DRREDDY,Small Cap,497.15,466.83,490.9,1.27,522.59,520.23,520.23
2018-09-01,SUNPHARMA,Large Cap,600.3,535.73,575.81,4.25,633.24,580.99,580.99
2018-09-01,APOLLOHOSP,Small Cap,1082.15,1023.91,1070.48,1.09,1173.23,1017.9,1017.9
2018-08-01,RECLTD,Large Cap,49.13,47.63,48.18,1.97,51.16,50.45,50.45
2018-08-01,SHILPAMED,Small Cap,224.86,203.77,208.77,7.71,260.19,247.23,247.23
