Date,Stock_Ticker,Market_Cap,HA_Close,HA_Open,EMA_89_HA_Close,Breakout_Strength_Percent,Regular_Close
2025-07-01,ASIANPAINT,Large Cap,2407.9,2293.85,2367.26,1.72,2396.1
2021-08-01,ITC,Large Cap,181.87,177.76,179.36,1.4,183.16
2021-03-01,NTPC,Large Cap,91.62,79.58,88.56,3.46,90.24
2021-02-01,TATAMOTORS,Mid Cap,293.13,194.91,265.56,10.38,318.22
2020-12-01,LT,Large Cap,1158.01,934.16,1005.85,15.13,1224.64
2020-12-01,SUNPHARMA,Large Cap,527.65,469.67,506.81,4.11,562.54
2020-12-01,SBIN,Large Cap,240.82,191.48,235.62,2.21,253.7
2020-11-01,AXISBANK,Large Cap,556.07,458.17,520.82,6.77,599.1
2020-10-01,GRASIM,Mid Cap,749.06,650.69,709.47,5.58,760.89
2020-07-01,JSWSTEEL,Mid Cap,192.27,176.26,190.06,1.16,206.31
2020-06-01,ADANIPORTS,Mid Cap,329.0,290.16,302.21,8.86,333.83
2020-06-01,WIPRO,Large Cap,103.01,95.77,101.06,1.93,103.85
2020-05-01,CIPLA,Mid Cap,592.18,454.34,500.72,18.27,625.55
2019-11-01,GRASIM,Mid Cap,751.42,724.34,730.58,2.85,764.83
2019-05-01,BHARTIARTL,Large Cap,319.68,292.13,309.95,3.14,333.42
2019-03-01,NTPC,Large Cap,99.48,89.77,91.49,8.74,104.52
2018-09-01,SUNPHARMA,Large Cap,600.3,535.73,575.81,4.25,580.99
