Date,Stock_Ticker,Market_Cap,HA_Close,HA_Open,EMA_89_Close,Regular_Close
2025-07-01,ASIANPAINT,Large Cap,2407.9,2293.85,2365.74,2396.1
2022-02-01,COALINDIA,Large Cap,121.34,113.02,118.62,126.44
2021-10-01,COALINDIA,Large Cap,126.13,106.88,119.08,115.73
2021-09-01,ONGC,Large Cap,102.19,88.87,95.27,110.9
2021-08-01,ITC,Large Cap,181.87,177.76,178.85,183.16
2021-05-01,NTPC,Large Cap,90.98,86.81,88.47,93.58
2021-03-01,ITC,Large Cap,179.99,169.86,179.07,184.28
2021-03-01,NTPC,Large Cap,91.62,79.58,88.38,90.24
2021-02-01,TATAMOTORS,Mid Cap,293.13,194.91,265.27,318.22
2020-12-01,SBIN,Large Cap,240.82,191.48,235.22,253.7
2020-12-01,SUNPHARMA,Large Cap,527.65,469.67,507.82,562.54
2020-12-01,LT,Large Cap,1158.01,934.16,1008.39,1224.64
2020-11-01,AXISBANK,Large Cap,556.07,458.17,522.05,599.1
2020-10-01,GRASIM,Mid Cap,749.06,650.69,710.85,760.89
2020-07-01,JSWSTEEL,Mid Cap,192.27,176.26,190.2,206.31
2020-06-01,WIPRO,Large Cap,103.01,95.77,101.04,103.85
2020-06-01,MARUTI,Large Cap,5399.31,5117.37,5351.05,5545.76
2020-06-01,ADANIPORTS,Mid Cap,329.0,290.16,303.19,333.83
2020-05-01,CIPLA,Mid Cap,592.18,454.34,502.87,625.55
2019-11-01,GRASIM,Mid Cap,751.42,724.34,732.4,764.83
2019-05-01,BHARTIARTL,Large Cap,319.68,292.13,310.38,333.42
2019-04-01,ONGC,Large Cap,114.16,102.19,112.0,118.11
2019-04-01,COALINDIA,Large Cap,140.47,130.35,140.24,144.56
2019-03-01,NTPC,Large Cap,99.48,89.77,91.56,104.52
2019-03-01,CIPLA,Mid Cap,513.04,510.68,512.39,503.57
2018-09-01,SUNPHARMA,Large Cap,600.3,535.73,576.18,580.99
2018-08-01,ONGC,Large Cap,114.47,110.62,113.63,119.53
